Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9,Turn - 10,Turn - 11
11,1,"3, 4, 5, 6, 7, 8, 7, 8, 4, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 3, 5","4, 6 - 3, 5","6 - 3, 5",6 - 3," - 3"
12,1,"3, 4, 5, 6, 7, 8, 7, 8, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 3, 5","4, 6 - 3, 5","4 - 3, 5"," - 3, 5"
13,1,"3, 4, 5, 6, 8, 4, 5, 6, 7, 3, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 7, 8","7 - 3, 7, 8","7 - 3, 8",7 - 8," - 8"
14,2,"3, 4, 5, 6, 8, 4, 5, 6, 7, 8, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 7, 8","7 - 3, 7, 8","7 - 3, 8",7 - 3,"7 - "
15,1,"3, 4, 5, 6, 8, 4, 5, 6, 8, 3, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 7, 8","7 - 3, 7, 8","7 - 3, 7",7 - 7," - 7"
16,2,"3, 4, 5, 6, 8, 4, 5, 6, 8, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 7, 8","7 - 3, 7, 8","7 - 3, 7",7 - 3,"7 - "
17,1,"3, 4, 5, 6, 8, 4, 5, 7, 8, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 7, 8","6 - 3, 7, 8","6 - 3, 7",6 - 7," - 7"
18,2,"3, 4, 5, 6, 8, 4, 5, 7, 8, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 7, 8","6 - 3, 7, 8","6 - 3, 7",6 - 3,"6 - "
19,2,"3, 4, 5, 6, 8, 4, 7, 3, 6, 8, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 5, 8","7 - 5, 8",7 - 5,"7 - "
20,2,"3, 4, 5, 6, 8, 4, 7, 3, 7, 8, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 5, 8","6 - 5, 8",6 - 5,"6 - "
21,2,"3, 4, 5, 6, 8, 4, 7, 5, 6, 8, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 3, 8","7 - 3, 8",7 - 3,"7 - "
22,2,"3, 4, 5, 6, 8, 4, 7, 5, 7, 8, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 3, 8","6 - 3, 8",6 - 3,"6 - "
23,1,"3, 4, 5, 6, 8, 4, 7, 8, 3, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 3, 5","6, 7 - 5",7 - 5," - 5"
24,1,"3, 4, 5, 6, 8, 4, 7, 8, 3, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 3, 5","6, 7 - 5",6 - 5," - 5"
25,1,"3, 4, 5, 6, 8, 4, 7, 8, 5, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 3, 5","6, 7 - 3",7 - 3," - 3"
26,1,"3, 4, 5, 6, 8, 4, 7, 8, 5, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 8","6, 7 - 3, 5","6, 7 - 3",6 - 3," - 3"
27,2,"3, 4, 5, 6, 8, 4, 8, 3, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 5, 7","7 - 5, 7",7 - 5,"7 - "
28,1,"3, 4, 5, 6, 8, 4, 8, 3, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 5, 7","6 - 5, 7"," - 5, 7"
29,2,"3, 4, 5, 6, 8, 4, 8, 5, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 3, 7","7 - 3, 7",7 - 3,"7 - "
30,1,"3, 4, 5, 6, 8, 4, 8, 5, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 3, 7","6 - 3, 7"," - 3, 7"
31,1,"3, 4, 5, 6, 8, 4, 8, 7, 3, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 3, 5","6, 7 - 5",7 - 5," - 5"
32,1,"3, 4, 5, 6, 8, 4, 8, 7, 3, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 3, 5","6, 7 - 5",6 - 5," - 5"
33,1,"3, 4, 5, 6, 8, 4, 8, 7, 5, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 3, 5","6, 7 - 3",7 - 3," - 3"
34,1,"3, 4, 5, 6, 8, 4, 8, 7, 5, 7, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7, 8","6, 7 - 3, 5, 7","6, 7 - 3, 5","6, 7 - 3",6 - 3," - 3"
35,1,"3, 4, 5, 6, 8, 6, 7, 3, 4, 5, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 5, 8","7 - 5, 8",7 - 8," - 8"
36,2,"3, 4, 5, 6, 8, 6, 7, 3, 4, 8, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 5, 8","7 - 5, 8",7 - 5,"7 - "
37,2,"3, 4, 5, 6, 8, 6, 7, 3, 7, 8, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 5, 8","4 - 5, 8",4 - 5,"4 - "
38,2,"3, 4, 5, 6, 8, 6, 7, 5, 7, 8, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 3, 8","4 - 3, 8",4 - 3,"4 - "
39,2,"3, 4, 5, 6, 8, 6, 7, 8, 3, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 3, 5","4, 7 - 5",7 - 5,"7 - "
40,1,"3, 4, 5, 6, 8, 6, 7, 8, 3, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 3, 5","4, 7 - 5",4 - 5," - 5"
41,1,"3, 4, 5, 6, 8, 6, 7, 8, 5, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 8","4, 7 - 3, 5","4, 7 - 3",4 - 3," - 3"
42,1,"3, 4, 5, 6, 8, 6, 8, 3, 4, 5, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 5, 7","7 - 5, 7",7 - 7," - 7"
43,2,"3, 4, 5, 6, 8, 6, 8, 3, 4, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 5, 7","7 - 5, 7",7 - 5,"7 - "
44,1,"3, 4, 5, 6, 8, 6, 8, 3, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 5, 7","4 - 5, 7"," - 5, 7"
45,1,"3, 4, 5, 6, 8, 6, 8, 5, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 3, 7","4 - 3, 7"," - 3, 7"
46,2,"3, 4, 5, 6, 8, 6, 8, 7, 3, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 3, 5","4, 7 - 5",7 - 5,"7 - "
47,1,"3, 4, 5, 6, 8, 6, 8, 7, 3, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 3, 5","4, 7 - 5",4 - 5," - 5"
48,1,"3, 4, 5, 6, 8, 6, 8, 7, 5, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7, 8","4, 7 - 3, 5, 7","4, 7 - 3, 5","4, 7 - 3",4 - 3," - 3"
49,1,"3, 4, 5, 6, 8, 7, 8, 3, 4, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 6 - 3, 5, 7, 8","4, 6 - 3, 5, 7","4, 6 - 5, 7","6 - 5, 7",6 - 7," - 7"
50,2,"3, 4, 5, 6, 8, 7, 8, 3, 4, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 7 - 3, 5, 7, 8","4, 6 - 3, 5, 7, 8","4, 6 - 3, 5, 7","4, 6 - 5, 7","6 - 5, 7",6 - 5,"6 - "
